time,open,high,low,close,volume 
2020-12-08 09:45:00,123.78,124.07,123.69,124.0358,369177
2020-12-08 09:44:00,123.87,123.87,123.7,123.78,261847
2020-12-08 09:43:00,123.93,123.94,123.81,123.86,243151
2020-12-08 09:42:00,123.81,124.015,123.68,123.94,412957
2020-12-08 09:41:00,123.72,123.85,123.68,123.81,316255
2020-12-08 09:40:00,123.76,123.77,123.625,123.7238,408840
2020-12-08 09:39:00,123.99,123.99,123.72,123.765,423840
2020-12-08 09:38:00,124.0,124.01,123.66,123.99,613314
2020-12-08 09:37:00,124.215,124.2285,123.87,124.01,443559
2020-12-08 09:36:00,124.3,124.308,124.06,124.21,355350
2020-12-08 09:35:00,124.0632,124.3636,124.01,124.3015,566454
2020-12-08 09:34:00,124.03,124.0799,123.77,124.06,484441
2020-12-08 09:33:00,124.37,124.37,123.79,124.0176,620314
2020-12-08 09:32:00,124.23,124.53,124.2037,124.37,468365
2020-12-08 09:31:00,124.37,124.57,123.99,124.23,1689770
2020-12-08 09:30:00,124.42,124.43,124.23,124.35,9363
2020-12-08 09:29:00,124.59,124.59,124.23,124.43,27561
2020-12-08 09:28:00,124.62,124.62,124.56,124.5998,6334
2020-12-08 09:27:00,124.6,124.63,124.59,124.62,5388
2020-12-08 09:26:00,124.67,124.67,124.6,124.61,6883
2020-12-08 09:25:00,124.63,124.69,124.63,124.69,7566
2020-12-08 09:24:00,124.6,124.68,124.6,124.65,13321
2020-12-08 09:23:00,124.57,124.6,124.56,124.59,12222
2020-12-08 09:22:00,124.56,124.56,124.52,124.5598,5921
2020-12-08 09:21:00,124.59,124.59,124.5,124.55,6421
2020-12-08 09:20:00,124.57,124.59,124.51,124.59,12783
2020-12-08 09:19:00,124.53,124.59,124.51,124.57,8553
2020-12-08 09:18:00,124.55,124.58,124.5,124.53,5993
2020-12-08 09:17:00,124.5,124.56,124.49,124.56,10885
2020-12-08 09:16:00,124.49,124.5,124.43,124.49,10108
2020-12-08 09:15:00,124.46,124.5,124.42,124.47,7379
2020-12-08 09:14:00,124.57,124.5799,124.35,124.46,26612
2020-12-08 09:13:00,124.6,124.67,124.6,124.6,21446
2020-12-08 09:12:00,124.64,124.66,124.62,124.6399,6267
2020-12-08 09:11:00,124.64,124.65,124.6,124.63,8967
2020-12-08 09:10:00,124.66,124.66,124.6,124.64,17375
2020-12-08 09:09:00,124.5399,124.67,124.52,124.66,32128
2020-12-08 09:08:00,124.5,124.54,124.5,124.52,8748
